title,category,dist,lat,lng,rating,reviewsCount,price
German Döner Kebab,Western restaurant,"MMX9+G6 Al Mathar Ash Shamali, Riyadh Saudi Arabia",24.6987689,46.6680557,,0,
Brew92,Cafe,,24.7004913,46.7021283,4.2,60,
3bean Coffee roastery محمصة ثري بين,Coffee roasters,"QMRC+MW Ar Rabi, Riyadh Saudi Arabia",24.7917346,46.6722946,4.6,239,
محامص ومكسرات المساعد,Nut store,,24.8270598,46.7351103,2.5,4,
Cold Stone Creamery Hayat Mall,Restaurant,"PMVJ+84 King Fahd, Riyadh Saudi Arabia",24.7433098,46.6803586,4.1,64,
نسبريسو,Coffee shop,"PM6F+HQ Al Olaya, Riyadh Saudi Arabia",24.7112854,46.674431,3.5,33,
Panda,Supermarket,"RPPV+J3 Qurtubah, Riyadh Saudi Arabia",24.8365733,46.7426413,3.9,1869,
Shots,Cafe,"PJGV+7V Al Mohammadiyyah, Riyadh Saudi Arabia",24.7256915,46.6446726,3.9,67,
Ghadwa Ashwah,Restaurant,"QPJV+WJ Ghirnatah, Riyadh Saudi Arabia",24.7823424,46.7440179,3.5,2228,$$$
Black House Cafe,Cafe,"MMWM+46 Al Olaya, Riyadh Saudi Arabia",24.695266,46.6830292,4,1439,$$
Barista Coffee,Coffee shop,"MRG2+XC Al Fayha, Riyadh Saudi Arabia",24.6774847,46.8011121,3.9,170,
Indian Island,Indian restaurant,"PQGJ+55 Ar Rayyan, Riyadh Saudi Arabia",24.7254181,46.7803841,3.6,4066,$$
Turkish Restaurant,Middle Eastern restaurant,"MPVM+W2 Ar Rabwah, Riyadh Saudi Arabia",24.6948065,46.7325061,3.8,272,$
dr.CAFE COFFEE | د. كيف‎‎‎,Cafe,"MP69+HH Al Malaz, Riyadh Saudi Arabia",24.6614501,46.7189351,3.7,20,$$
Albalad,Lebanese restaurant,"QMJW+6W At Taawun, Riyadh Saudi Arabia",24.7806079,46.6972632,3.2,4220,
Usmania Restaurant,Restaurant,"VJ9R+9F An Narjis, Riyadh Saudi Arabia",24.8684529,46.6411497,3.6,126,
Krispy Kreme,Donut shop,"RM58+69 Ar Rabi, Riyadh Saudi Arabia",24.8080874,46.6659985,4.1,466,$$
Emergan Sutis,Turkish restaurant,"QP98+G6 Al Mughrizat, Riyadh Saudi Arabia",24.7688492,46.7155419,3.7,1599,
PRiMO - Swahil,Convenience store,"RPJJ+C7 Qurtubah, Riyadh Saudi Arabia",24.8311253,46.7306597,3.3,19,
Mosaic Mediterranean Restaurant,Restaurant,"MPP6+GX Al Wizarat, Riyadh Saudi Arabia",24.6863189,46.712449,3.6,12,
Hamam Abdoh,Egyptian restaurant,"MMPJ+V7 Al Olaya, Riyadh Saudi Arabia",24.6871882,46.6807282,4.2,8328,$$
Half Million هاف مليون,Coffee shop,"MMRF+QF Al Olaya, Riyadh Saudi Arabia",24.6919732,46.6737211,4,7098,
Sum+Things,Restaurant,"QJ27+2F Hittin, Riyadh Saudi Arabia",24.7500243,46.613684,3.8,1157,
PRiMO - Exit 8,Convenience store,"RQ32+H8 Ghirnatah, Riyadh Saudi Arabia",24.8040407,46.7507857,3.2,6,
CHATKHARE LUCKNOW RESTAURANT,Restaurant,,24.6679419,46.7117638,3.8,289,$
Hi cafe,Cafe,"QJM7+RH Al Aqiq, Riyadh Saudi Arabia",24.7845353,46.6138768,3.2,439,
Abadi Aljohar By 25 Lounge,Restaurant,"PM7F+9H Al Olaya, Riyadh Saudi Arabia",24.7133787,46.6739003,3.8,844,
Konime cafe,Coffee shop,"RJ33+V5 Al Malqa, Riyadh Saudi Arabia",24.804727,46.6029717,4.6,277,
Open Restaurant,Restaurant,"QM74+PQ Al Muruj, Riyadh Saudi Arabia",24.7641573,46.6570531,3.4,53,
